"","name","code"
"526","云南城投","600239"
"527","华业资本","600240"
"528","时代万恒","600241"
"529","中昌数据","600242"
"530","青海华鼎","600243"
"531","万通地产","600246"
"532","*ST成城","600247"
"533","延长化建","600248"
"534","两面针","600249"
"535","南纺股份","600250"
"536","冠农股份","600251"
"537","中恒集团","600252"
"538","天方药业","600253"
"539","梦舟股份","600255"
"540","广汇能源","600256"
"541","大湖股份","600257"
"542","首旅酒店","600258"
"543","广晟有色","600259"
"544","凯乐科技","600260"
"545","阳光照明","600261"
"546","北方股份","600262"
"547","路桥建设","600263"
"548","ST景谷","600265"
"549","北京城建","600266"
"550","海正药业","600267"
"551","国电南自","600268"
"552","赣粤高速","600269"
"553","外运发展","600270"
"554","航天信息","600271"
"555","开开实业","600272"
"556","嘉化能源","600273"
"557","ST昌鱼","600275"
"558","恒瑞医药","600276"
"559","亿利洁能","600277"
"560","东方创业","600278"
"561","重庆港九","600279"
"562","中央商场","600280"
"563","太化股份","600281"
"564","南钢股份","600282"
"565","钱江水利","600283"
"566","浦东建设","600284"
"567","羚锐制药","600285"
"568","S*ST国瓷","600286"
"569","江苏舜天","600287"
"570","大恒科技","600288"
"571","*ST信通","600289"
"572","华仪电气","600290"
"573","西水股份","600291"
"574","远达环保","600292"
"575","三峡新材","600293"
"576","鄂尔多斯","600295"
"577","S兰铝","600296"
"578","广汇汽车","600297"
"579","安琪酵母","600298"
"580","安迪苏","600299"
"581","维维股份","600300"
"582","ST南化","600301"
"583","标准股份","600302"
"584","曙光股份","600303"
"585","恒顺醋业","600305"
"586","商业城","600306"
"587","酒钢宏兴","600307"
"588","华泰股份","600308"
"589","万华化学","600309"
"590","桂东电力","600310"
"591","荣华实业","600311"
"592","平高电气","600312"
"593","农发种业","600313"
"594","上海家化","600315"
"595","洪都航空","600316"
"596","营口港","600317"
"597","新力金融","600318"
"598","亚星化学","600319"
"599","振华重工","600320"
"600","*ST正源","600321"
"601","天房发展","600322"
"602","瀚蓝环境","600323"
"603","华发股份","600325"
"604","西藏天路","600326"
"605","大东方","600327"
"606","兰太实业","600328"
"607","中新药业","600329"
"608","天通股份","600330"
"609","宏达股份","600331"
"610","白云山","600332"
"611","长春燃气","600333"
"612","国机汽车","600335"
"613","澳柯玛","600336"
"614","美克家居","600337"
"615","西藏珠峰","600338"
"616","中油工程","600339"
